rect0s1:[162, 313] [320, 313]
rect0s2:[320, 313] [320, 461]
rect0s3:[320, 461] [162, 461]
rect0s4:[162, 461] [162, 313]
rect1s1:[162, 348] [320, 348]
rect1s2:[320, 348] [320, 461]
rect1s3:[320, 461] [162, 461]
rect1s4:[162, 461] [162, 348]
rect2s1:[162, 348] [304, 348]
rect2s2:[304, 348] [304, 313]
rect2s3:[304, 313] [162, 313]
rect2s4:[162, 313] [162, 348]
rect3s1:[162, 313] [304, 313]
rect3s2:[304, 313] [304, 461]
rect3s3:[304, 461] [162, 461]
rect3s4:[162, 461] [162, 313]
rect4s1:[162, 348] [304, 348]
rect4s2:[304, 348] [304, 461]
rect4s3:[304, 461] [162, 461]
rect4s4:[162, 461] [162, 348]
rect5s1:[162, 313] [344, 313]
rect5s2:[344, 313] [344, 461]
rect5s3:[344, 461] [162, 461]
rect5s4:[162, 461] [162, 313]
rect6s1:[49, 313] [320, 313]
rect6s2:[320, 313] [320, 806]
rect6s3:[320, 806] [49, 806]
rect6s4:[49, 806] [49, 313]
rect7s1:[49, 348] [320, 348]
rect7s2:[320, 348] [320, 806]
rect7s3:[320, 806] [49, 806]
rect7s4:[49, 806] [49, 348]
rect8s1:[49, 179] [56, 179]
rect8s2:[56, 179] [56, 313]
rect8s3:[56, 313] [49, 313]
rect8s4:[49, 313] [49, 179]
rect9s1:[49, 179] [56, 179]
rect9s2:[56, 179] [56, 348]
rect9s3:[56, 348] [49, 348]
rect9s4:[49, 348] [49, 179]
rect10s1:[49, 313] [344, 313]
rect10s2:[344, 313] [344, 806]
rect10s3:[344, 806] [49, 806]
rect10s4:[49, 806] [49, 313]
rect11s1:[49, 348] [344, 348]
rect11s2:[344, 348] [344, 806]
rect11s3:[344, 806] [49, 806]
rect11s4:[49, 806] [49, 348]
rect12s1:[320, 258] [112, 258]
rect12s2:[112, 258] [112, 806]
rect12s3:[112, 806] [320, 806]
rect12s4:[320, 806] [320, 258]
rect13s1:[320, 258] [112, 258]
rect13s2:[112, 258] [112, 313]
rect13s3:[112, 313] [320, 313]
rect13s4:[320, 313] [320, 258]
rect14s1:[320, 258] [112, 258]
rect14s2:[112, 258] [112, 348]
rect14s3:[112, 348] [320, 348]
rect14s4:[320, 348] [320, 258]
rect15s1:[320, 313] [112, 313]
rect15s2:[112, 313] [112, 806]
rect15s3:[112, 806] [320, 806]
rect15s4:[320, 806] [320, 313]
rect16s1:[320, 348] [112, 348]
rect16s2:[112, 348] [112, 806]
rect16s3:[112, 806] [320, 806]
rect16s4:[320, 806] [320, 348]
rect17s1:[320, 499] [162, 499]
rect17s2:[162, 499] [162, 806]
rect17s3:[162, 806] [320, 806]
rect17s4:[320, 806] [320, 499]
rect18s1:[320, 348] [56, 348]
rect18s2:[56, 348] [56, 313]
rect18s3:[56, 313] [320, 313]
rect18s4:[320, 313] [320, 348]
rect19s1:[320, 258] [344, 258]
rect19s2:[344, 258] [344, 806]
rect19s3:[344, 806] [320, 806]
rect19s4:[320, 806] [320, 258]
rect20s1:[320, 258] [344, 258]
rect20s2:[344, 258] [344, 758]
rect20s3:[344, 758] [320, 758]
rect20s4:[320, 758] [320, 258]
rect21s1:[320, 313] [344, 313]
rect21s2:[344, 313] [344, 758]
rect21s3:[344, 758] [320, 758]
rect21s4:[320, 758] [320, 313]
rect22s1:[320, 348] [344, 348]
rect22s2:[344, 348] [344, 758]
rect22s3:[344, 758] [320, 758]
rect22s4:[320, 758] [320, 348]
rect23s1:[320, 461] [344, 461]
rect23s2:[344, 461] [344, 758]
rect23s3:[344, 758] [320, 758]
rect23s4:[320, 758] [320, 461]
rect24s1:[320, 499] [305, 499]
rect24s2:[305, 499] [305, 758]
rect24s3:[305, 758] [320, 758]
rect24s4:[320, 758] [320, 499]
rect25s1:[320, 499] [208, 499]
rect25s2:[208, 499] [208, 806]
rect25s3:[208, 806] [320, 806]
rect25s4:[320, 806] [320, 499]
rect26s1:[320, 499] [241, 499]
rect26s2:[241, 499] [241, 806]
rect26s3:[241, 806] [320, 806]
rect26s4:[320, 806] [320, 499]
rect27s1:[320, 499] [241, 499]
rect27s2:[241, 499] [241, 758]
rect27s3:[241, 758] [320, 758]
rect27s4:[320, 758] [320, 499]
rect28s1:[320, 313] [137, 313]
rect28s2:[137, 313] [137, 461]
rect28s3:[137, 461] [320, 461]
rect28s4:[320, 461] [320, 313]
rect29s1:[320, 348] [137, 348]
rect29s2:[137, 348] [137, 461]
rect29s3:[137, 461] [320, 461]
rect29s4:[320, 461] [320, 348]
rect30s1:[112, 258] [344, 258]
rect30s2:[344, 258] [344, 806]
rect30s3:[344, 806] [112, 806]
rect30s4:[112, 806] [112, 258]
rect31s1:[112, 258] [344, 258]
rect31s2:[344, 258] [344, 348]
rect31s3:[344, 348] [112, 348]
rect31s4:[112, 348] [112, 258]
rect32s1:[112, 313] [344, 313]
rect32s2:[344, 313] [344, 806]
rect32s3:[344, 806] [112, 806]
rect32s4:[112, 806] [112, 313]
rect33s1:[112, 348] [344, 348]
rect33s2:[344, 348] [344, 806]
rect33s3:[344, 806] [112, 806]
rect33s4:[112, 806] [112, 348]
rect34s1:[162, 499] [344, 499]
rect34s2:[344, 499] [344, 806]
rect34s3:[344, 806] [162, 806]
rect34s4:[162, 806] [162, 499]
rect35s1:[162, 499] [305, 499]
rect35s2:[305, 499] [305, 806]
rect35s3:[305, 806] [162, 806]
rect35s4:[162, 806] [162, 499]
rect36s1:[162, 499] [208, 499]
rect36s2:[208, 499] [208, 806]
rect36s3:[208, 806] [162, 806]
rect36s4:[162, 806] [162, 499]
rect37s1:[162, 499] [208, 499]
rect37s2:[208, 499] [208, 763]
rect37s3:[208, 763] [162, 763]
rect37s4:[162, 763] [162, 499]
rect38s1:[162, 499] [241, 499]
rect38s2:[241, 499] [241, 806]
rect38s3:[241, 806] [162, 806]
rect38s4:[162, 806] [162, 499]
rect39s1:[304, 313] [137, 313]
rect39s2:[137, 313] [137, 461]
rect39s3:[137, 461] [304, 461]
rect39s4:[304, 461] [304, 313]
rect40s1:[304, 348] [137, 348]
rect40s2:[137, 348] [137, 461]
rect40s3:[137, 461] [304, 461]
rect40s4:[304, 461] [304, 348]
rect41s1:[344, 499] [305, 499]
rect41s2:[305, 499] [305, 758]
rect41s3:[305, 758] [344, 758]
rect41s4:[344, 758] [344, 499]
rect42s1:[344, 499] [208, 499]
rect42s2:[208, 499] [208, 806]
rect42s3:[208, 806] [344, 806]
rect42s4:[344, 806] [344, 499]
rect43s1:[344, 499] [241, 499]
rect43s2:[241, 499] [241, 806]
rect43s3:[241, 806] [344, 806]
rect43s4:[344, 806] [344, 499]
