rect0s1:[422, 267] [505, 267]
rect0s2:[505, 267] [505, 814]
rect0s3:[505, 814] [422, 814]
rect0s4:[422, 814] [422, 267]
rect1s1:[422, 296] [505, 296]
rect1s2:[505, 296] [505, 814]
rect1s3:[505, 814] [422, 814]
rect1s4:[422, 814] [422, 296]
rect2s1:[422, 267] [199, 267]
rect2s2:[199, 267] [199, 814]
rect2s3:[199, 814] [422, 814]
rect2s4:[422, 814] [422, 267]
rect3s1:[422, 296] [199, 296]
rect3s2:[199, 296] [199, 814]
rect3s3:[199, 814] [422, 814]
rect3s4:[422, 814] [422, 296]
rect4s1:[422, 339] [199, 339]
rect4s2:[199, 339] [199, 814]
rect4s3:[199, 814] [422, 814]
rect4s4:[422, 814] [422, 339]
rect5s1:[422, 267] [248, 267]
rect5s2:[248, 267] [248, 814]
rect5s3:[248, 814] [422, 814]
rect5s4:[422, 814] [422, 267]
rect6s1:[422, 296] [248, 296]
rect6s2:[248, 296] [248, 814]
rect6s3:[248, 814] [422, 814]
rect6s4:[422, 814] [422, 296]
rect7s1:[422, 339] [248, 339]
rect7s2:[248, 339] [248, 814]
rect7s3:[248, 814] [422, 814]
rect7s4:[422, 814] [422, 339]
rect8s1:[422, 267] [305, 267]
rect8s2:[305, 267] [305, 814]
rect8s3:[305, 814] [422, 814]
rect8s4:[422, 814] [422, 267]
rect9s1:[422, 296] [305, 296]
rect9s2:[305, 296] [305, 814]
rect9s3:[305, 814] [422, 814]
rect9s4:[422, 814] [422, 296]
rect10s1:[422, 339] [305, 339]
rect10s2:[305, 339] [305, 814]
rect10s3:[305, 814] [422, 814]
rect10s4:[422, 814] [422, 339]
rect11s1:[422, 267] [305, 267]
rect11s2:[305, 267] [305, 522]
rect11s3:[305, 522] [422, 522]
rect11s4:[422, 522] [422, 267]
rect12s1:[422, 296] [305, 296]
rect12s2:[305, 296] [305, 522]
rect12s3:[305, 522] [422, 522]
rect12s4:[422, 522] [422, 296]
rect13s1:[422, 339] [305, 339]
rect13s2:[305, 339] [305, 522]
rect13s3:[305, 522] [422, 522]
rect13s4:[422, 522] [422, 339]
rect14s1:[422, 267] [88, 267]
rect14s2:[88, 267] [88, 814]
rect14s3:[88, 814] [422, 814]
rect14s4:[422, 814] [422, 267]
rect15s1:[422, 296] [88, 296]
rect15s2:[88, 296] [88, 814]
rect15s3:[88, 814] [422, 814]
rect15s4:[422, 814] [422, 296]
rect16s1:[422, 339] [88, 339]
rect16s2:[88, 339] [88, 814]
rect16s3:[88, 814] [422, 814]
rect16s4:[422, 814] [422, 339]
rect17s1:[422, 339] [88, 339]
rect17s2:[88, 339] [88, 267]
rect17s3:[88, 267] [422, 267]
rect17s4:[422, 267] [422, 339]
rect18s1:[422, 267] [328, 267]
rect18s2:[328, 267] [328, 491]
rect18s3:[328, 491] [422, 491]
rect18s4:[422, 491] [422, 267]
rect19s1:[422, 296] [328, 296]
rect19s2:[328, 296] [328, 491]
rect19s3:[328, 491] [422, 491]
rect19s4:[422, 491] [422, 296]
rect20s1:[422, 339] [328, 339]
rect20s2:[328, 339] [328, 491]
rect20s3:[328, 491] [422, 491]
rect20s4:[422, 491] [422, 339]
rect21s1:[505, 267] [199, 267]
rect21s2:[199, 267] [199, 814]
rect21s3:[199, 814] [505, 814]
rect21s4:[505, 814] [505, 267]
rect22s1:[505, 296] [199, 296]
rect22s2:[199, 296] [199, 814]
rect22s3:[199, 814] [505, 814]
rect22s4:[505, 814] [505, 296]
rect23s1:[505, 267] [248, 267]
rect23s2:[248, 267] [248, 814]
rect23s3:[248, 814] [505, 814]
rect23s4:[505, 814] [505, 267]
rect24s1:[505, 296] [248, 296]
rect24s2:[248, 296] [248, 814]
rect24s3:[248, 814] [505, 814]
rect24s4:[505, 814] [505, 296]
rect25s1:[505, 267] [305, 267]
rect25s2:[305, 267] [305, 814]
rect25s3:[305, 814] [505, 814]
rect25s4:[505, 814] [505, 267]
rect26s1:[505, 296] [305, 296]
rect26s2:[305, 296] [305, 814]
rect26s3:[305, 814] [505, 814]
rect26s4:[505, 814] [505, 296]
rect27s1:[505, 267] [88, 267]
rect27s2:[88, 267] [88, 814]
rect27s3:[88, 814] [505, 814]
rect27s4:[505, 814] [505, 267]
rect28s1:[505, 296] [88, 296]
rect28s2:[88, 296] [88, 814]
rect28s3:[88, 814] [505, 814]
rect28s4:[505, 814] [505, 296]
rect29s1:[199, 267] [248, 267]
rect29s2:[248, 267] [248, 515]
rect29s3:[248, 515] [199, 515]
rect29s4:[199, 515] [199, 267]
rect30s1:[199, 267] [248, 267]
rect30s2:[248, 267] [248, 491]
rect30s3:[248, 491] [199, 491]
rect30s4:[199, 491] [199, 267]
rect31s1:[199, 296] [248, 296]
rect31s2:[248, 296] [248, 515]
rect31s3:[248, 515] [199, 515]
rect31s4:[199, 515] [199, 296]
rect32s1:[305, 296] [88, 296]
rect32s2:[88, 296] [88, 814]
rect32s3:[88, 814] [305, 814]
rect32s4:[305, 814] [305, 296]
rect33s1:[305, 339] [88, 339]
rect33s2:[88, 339] [88, 814]
rect33s3:[88, 814] [305, 814]
rect33s4:[305, 814] [305, 339]
rect34s1:[305, 339] [88, 339]
rect34s2:[88, 339] [88, 267]
rect34s3:[88, 267] [305, 267]
rect34s4:[305, 267] [305, 339]
