rect0s1:[32, 176] [360, 176]
rect0s2:[360, 176] [360, 694]
rect0s3:[360, 694] [32, 694]
rect0s4:[32, 694] [32, 176]
rect1s1:[32, 176] [360, 176]
rect1s2:[360, 176] [360, 731]
rect1s3:[360, 731] [32, 731]
rect1s4:[32, 731] [32, 176]
rect2s1:[185, 404] [80, 404]
rect2s2:[80, 404] [80, 694]
rect2s3:[80, 694] [185, 694]
rect2s4:[185, 694] [185, 404]
rect3s1:[185, 404] [80, 404]
rect3s2:[80, 404] [80, 731]
rect3s3:[80, 731] [185, 731]
rect3s4:[185, 731] [185, 404]
rect4s1:[185, 404] [312, 404]
rect4s2:[312, 404] [312, 694]
rect4s3:[312, 694] [185, 694]
rect4s4:[185, 694] [185, 404]
rect5s1:[185, 404] [312, 404]
rect5s2:[312, 404] [312, 731]
rect5s3:[312, 731] [185, 731]
rect5s4:[185, 731] [185, 404]
rect6s1:[80, 359] [312, 359]
rect6s2:[312, 359] [312, 694]
rect6s3:[312, 694] [80, 694]
rect6s4:[80, 694] [80, 359]
rect7s1:[80, 224] [312, 224]
rect7s2:[312, 224] [312, 694]
rect7s3:[312, 694] [80, 694]
rect7s4:[80, 694] [80, 224]
rect8s1:[80, 404] [312, 404]
rect8s2:[312, 404] [312, 694]
rect8s3:[312, 694] [80, 694]
rect8s4:[80, 694] [80, 404]
rect9s1:[80, 359] [312, 359]
rect9s2:[312, 359] [312, 731]
rect9s3:[312, 731] [80, 731]
rect9s4:[80, 731] [80, 359]
rect10s1:[80, 224] [312, 224]
rect10s2:[312, 224] [312, 731]
rect10s3:[312, 731] [80, 731]
rect10s4:[80, 731] [80, 224]
rect11s1:[80, 404] [312, 404]
rect11s2:[312, 404] [312, 731]
rect11s3:[312, 731] [80, 731]
rect11s4:[80, 731] [80, 404]
rect12s1:[80, 224] [312, 224]
rect12s2:[312, 224] [312, 359]
rect12s3:[312, 359] [80, 359]
rect12s4:[80, 359] [80, 224]
rect13s1:[80, 224] [312, 224]
rect13s2:[312, 224] [312, 404]
rect13s3:[312, 404] [80, 404]
rect13s4:[80, 404] [80, 224]
rect14s1:[80, 404] [216, 404]
rect14s2:[216, 404] [216, 694]
rect14s3:[216, 694] [80, 694]
rect14s4:[80, 694] [80, 404]
rect15s1:[312, 404] [216, 404]
rect15s2:[216, 404] [216, 694]
rect15s3:[216, 694] [312, 694]
rect15s4:[312, 694] [312, 404]
rect16s1:[132, 87] [132, 176]
rect16s2:[132, 176] [270, 176]
rect16s3:[270, 176] [270, 87]
rect16s4:[270, 87] [132, 87]
rect17s1:[90, 87] [90, 176]
rect17s2:[90, 176] [270, 176]
rect17s3:[270, 176] [270, 87]
rect17s4:[270, 87] [90, 87]
