rect0s1:[505, 131] [448, 131]
rect0s2:[448, 131] [448, 553]
rect0s3:[448, 553] [505, 553]
rect0s4:[505, 553] [505, 131]
rect1s1:[505, 131] [433, 131]
rect1s2:[433, 131] [433, 553]
rect1s3:[433, 553] [505, 553]
rect1s4:[505, 553] [505, 131]
rect2s1:[505, 131] [472, 131]
rect2s2:[472, 131] [472, 553]
rect2s3:[472, 553] [505, 553]
rect2s4:[505, 553] [505, 131]
rect3s1:[505, 131] [472, 131]
rect3s2:[472, 131] [472, 715]
rect3s3:[472, 715] [505, 715]
rect3s4:[505, 715] [505, 131]
rect4s1:[505, 131] [136, 131]
rect4s2:[136, 131] [136, 553]
rect4s3:[136, 553] [505, 553]
rect4s4:[505, 553] [505, 131]
rect5s1:[505, 131] [153, 131]
rect5s2:[153, 131] [153, 553]
rect5s3:[153, 553] [505, 553]
rect5s4:[505, 553] [505, 131]
rect6s1:[505, 131] [112, 131]
rect6s2:[112, 131] [112, 553]
rect6s3:[112, 553] [505, 553]
rect6s4:[505, 553] [505, 131]
rect7s1:[505, 131] [280, 131]
rect7s2:[280, 131] [280, 553]
rect7s3:[280, 553] [505, 553]
rect7s4:[505, 553] [505, 131]
rect8s1:[505, 131] [312, 131]
rect8s2:[312, 131] [312, 553]
rect8s3:[312, 553] [505, 553]
rect8s4:[505, 553] [505, 131]
rect9s1:[448, 160] [433, 160]
rect9s2:[433, 160] [433, 553]
rect9s3:[433, 553] [448, 553]
rect9s4:[448, 553] [448, 160]
rect10s1:[448, 131] [433, 131]
rect10s2:[433, 131] [433, 553]
rect10s3:[433, 553] [448, 553]
rect10s4:[448, 553] [448, 131]
rect11s1:[448, 131] [472, 131]
rect11s2:[472, 131] [472, 553]
rect11s3:[472, 553] [448, 553]
rect11s4:[448, 553] [448, 131]
rect12s1:[448, 160] [136, 160]
rect12s2:[136, 160] [136, 553]
rect12s3:[136, 553] [448, 553]
rect12s4:[448, 553] [448, 160]
rect13s1:[448, 131] [136, 131]
rect13s2:[136, 131] [136, 553]
rect13s3:[136, 553] [448, 553]
rect13s4:[448, 553] [448, 131]
rect14s1:[448, 160] [153, 160]
rect14s2:[153, 160] [153, 553]
rect14s3:[153, 553] [448, 553]
rect14s4:[448, 553] [448, 160]
rect15s1:[448, 131] [153, 131]
rect15s2:[153, 131] [153, 553]
rect15s3:[153, 553] [448, 553]
rect15s4:[448, 553] [448, 131]
rect16s1:[448, 160] [112, 160]
rect16s2:[112, 160] [112, 553]
rect16s3:[112, 553] [448, 553]
rect16s4:[448, 553] [448, 160]
rect17s1:[448, 131] [112, 131]
rect17s2:[112, 131] [112, 553]
rect17s3:[112, 553] [448, 553]
rect17s4:[448, 553] [448, 131]
rect18s1:[448, 160] [280, 160]
rect18s2:[280, 160] [280, 553]
rect18s3:[280, 553] [448, 553]
rect18s4:[448, 553] [448, 160]
rect19s1:[448, 131] [280, 131]
rect19s2:[280, 131] [280, 553]
rect19s3:[280, 553] [448, 553]
rect19s4:[448, 553] [448, 131]
rect20s1:[448, 160] [312, 160]
rect20s2:[312, 160] [312, 553]
rect20s3:[312, 553] [448, 553]
rect20s4:[448, 553] [448, 160]
rect21s1:[448, 131] [312, 131]
rect21s2:[312, 131] [312, 553]
rect21s3:[312, 553] [448, 553]
rect21s4:[448, 553] [448, 131]
rect22s1:[433, 131] [472, 131]
rect22s2:[472, 131] [472, 553]
rect22s3:[472, 553] [433, 553]
rect22s4:[433, 553] [433, 131]
rect23s1:[433, 160] [136, 160]
rect23s2:[136, 160] [136, 553]
rect23s3:[136, 553] [433, 553]
rect23s4:[433, 553] [433, 160]
rect24s1:[433, 131] [136, 131]
rect24s2:[136, 131] [136, 553]
rect24s3:[136, 553] [433, 553]
rect24s4:[433, 553] [433, 131]
rect25s1:[433, 160] [153, 160]
rect25s2:[153, 160] [153, 553]
rect25s3:[153, 553] [433, 553]
rect25s4:[433, 553] [433, 160]
rect26s1:[433, 131] [153, 131]
rect26s2:[153, 131] [153, 553]
rect26s3:[153, 553] [433, 553]
rect26s4:[433, 553] [433, 131]
rect27s1:[433, 160] [112, 160]
rect27s2:[112, 160] [112, 553]
rect27s3:[112, 553] [433, 553]
rect27s4:[433, 553] [433, 160]
rect28s1:[433, 131] [112, 131]
rect28s2:[112, 131] [112, 553]
rect28s3:[112, 553] [433, 553]
rect28s4:[433, 553] [433, 131]
rect29s1:[433, 160] [280, 160]
rect29s2:[280, 160] [280, 553]
rect29s3:[280, 553] [433, 553]
rect29s4:[433, 553] [433, 160]
rect30s1:[433, 131] [280, 131]
rect30s2:[280, 131] [280, 553]
rect30s3:[280, 553] [433, 553]
rect30s4:[433, 553] [433, 131]
rect31s1:[433, 160] [312, 160]
rect31s2:[312, 160] [312, 553]
rect31s3:[312, 553] [433, 553]
rect31s4:[433, 553] [433, 160]
rect32s1:[433, 131] [312, 131]
rect32s2:[312, 131] [312, 553]
rect32s3:[312, 553] [433, 553]
rect32s4:[433, 553] [433, 131]
rect33s1:[472, 131] [136, 131]
rect33s2:[136, 131] [136, 553]
rect33s3:[136, 553] [472, 553]
rect33s4:[472, 553] [472, 131]
rect34s1:[472, 131] [153, 131]
rect34s2:[153, 131] [153, 553]
rect34s3:[153, 553] [472, 553]
rect34s4:[472, 553] [472, 131]
rect35s1:[472, 131] [112, 131]
rect35s2:[112, 131] [112, 553]
rect35s3:[112, 553] [472, 553]
rect35s4:[472, 553] [472, 131]
rect36s1:[472, 131] [280, 131]
rect36s2:[280, 131] [280, 553]
rect36s3:[280, 553] [472, 553]
rect36s4:[472, 553] [472, 131]
rect37s1:[472, 131] [312, 131]
rect37s2:[312, 131] [312, 553]
rect37s3:[312, 553] [472, 553]
rect37s4:[472, 553] [472, 131]
rect38s1:[136, 160] [153, 160]
rect38s2:[153, 160] [153, 553]
rect38s3:[153, 553] [136, 553]
rect38s4:[136, 553] [136, 160]
rect39s1:[136, 131] [153, 131]
rect39s2:[153, 131] [153, 553]
rect39s3:[153, 553] [136, 553]
rect39s4:[136, 553] [136, 131]
rect40s1:[136, 160] [112, 160]
rect40s2:[112, 160] [112, 553]
rect40s3:[112, 553] [136, 553]
rect40s4:[136, 553] [136, 160]
rect41s1:[136, 131] [112, 131]
rect41s2:[112, 131] [112, 553]
rect41s3:[112, 553] [136, 553]
rect41s4:[136, 553] [136, 131]
rect42s1:[136, 160] [280, 160]
rect42s2:[280, 160] [280, 553]
rect42s3:[280, 553] [136, 553]
rect42s4:[136, 553] [136, 160]
rect43s1:[136, 131] [280, 131]
rect43s2:[280, 131] [280, 553]
rect43s3:[280, 553] [136, 553]
rect43s4:[136, 553] [136, 131]
rect44s1:[136, 160] [312, 160]
rect44s2:[312, 160] [312, 553]
rect44s3:[312, 553] [136, 553]
rect44s4:[136, 553] [136, 160]
rect45s1:[136, 131] [312, 131]
rect45s2:[312, 131] [312, 553]
rect45s3:[312, 553] [136, 553]
rect45s4:[136, 553] [136, 131]
rect46s1:[153, 160] [112, 160]
rect46s2:[112, 160] [112, 553]
rect46s3:[112, 553] [153, 553]
rect46s4:[153, 553] [153, 160]
rect47s1:[153, 131] [112, 131]
rect47s2:[112, 131] [112, 553]
rect47s3:[112, 553] [153, 553]
rect47s4:[153, 553] [153, 131]
rect48s1:[153, 160] [280, 160]
rect48s2:[280, 160] [280, 553]
rect48s3:[280, 553] [153, 553]
rect48s4:[153, 553] [153, 160]
rect49s1:[153, 131] [280, 131]
rect49s2:[280, 131] [280, 553]
rect49s3:[280, 553] [153, 553]
rect49s4:[153, 553] [153, 131]
rect50s1:[153, 160] [312, 160]
rect50s2:[312, 160] [312, 553]
rect50s3:[312, 553] [153, 553]
rect50s4:[153, 553] [153, 160]
rect51s1:[153, 131] [312, 131]
rect51s2:[312, 131] [312, 553]
rect51s3:[312, 553] [153, 553]
rect51s4:[153, 553] [153, 131]
rect52s1:[112, 160] [280, 160]
rect52s2:[280, 160] [280, 553]
rect52s3:[280, 553] [112, 553]
rect52s4:[112, 553] [112, 160]
rect53s1:[112, 131] [280, 131]
rect53s2:[280, 131] [280, 553]
rect53s3:[280, 553] [112, 553]
rect53s4:[112, 553] [112, 131]
rect54s1:[112, 160] [312, 160]
rect54s2:[312, 160] [312, 553]
rect54s3:[312, 553] [112, 553]
rect54s4:[112, 553] [112, 160]
rect55s1:[112, 131] [312, 131]
rect55s2:[312, 131] [312, 553]
rect55s3:[312, 553] [112, 553]
rect55s4:[112, 553] [112, 131]
rect56s1:[280, 160] [312, 160]
rect56s2:[312, 160] [312, 553]
rect56s3:[312, 553] [280, 553]
rect56s4:[280, 553] [280, 160]
rect57s1:[280, 131] [312, 131]
rect57s2:[312, 131] [312, 553]
rect57s3:[312, 553] [280, 553]
rect57s4:[280, 553] [280, 131]
