rect0s1:[240, 59] [240, 582]
rect0s2:[240, 582] [626, 582]
rect0s3:[626, 582] [626, 59]
rect0s4:[626, 59] [240, 59]
rect1s1:[240, 59] [240, 450]
rect1s2:[240, 450] [626, 450]
rect1s3:[626, 450] [626, 59]
rect1s4:[626, 59] [240, 59]
rect2s1:[240, 59] [240, 81]
rect2s2:[240, 81] [672, 81]
rect2s3:[672, 81] [672, 59]
rect2s4:[672, 59] [240, 59]
rect3s1:[840, 81] [16, 81]
rect3s2:[16, 81] [16, 582]
rect3s3:[16, 582] [840, 582]
rect3s4:[840, 582] [840, 81]
rect4s1:[840, 81] [256, 81]
rect4s2:[256, 81] [256, 582]
rect4s3:[256, 582] [840, 582]
rect4s4:[840, 582] [840, 81]
rect5s1:[840, 81] [240, 81]
rect5s2:[240, 81] [240, 582]
rect5s3:[240, 582] [840, 582]
rect5s4:[840, 582] [840, 81]
rect6s1:[16, 81] [626, 81]
rect6s2:[626, 81] [626, 582]
rect6s3:[626, 582] [16, 582]
rect6s4:[16, 582] [16, 81]
rect7s1:[626, 81] [256, 81]
rect7s2:[256, 81] [256, 582]
rect7s3:[256, 582] [626, 582]
rect7s4:[626, 582] [626, 81]
rect8s1:[626, 81] [256, 81]
rect8s2:[256, 81] [256, 450]
rect8s3:[256, 450] [626, 450]
rect8s4:[626, 450] [626, 81]
rect9s1:[626, 81] [256, 81]
rect9s2:[256, 81] [256, 435]
rect9s3:[256, 435] [626, 435]
rect9s4:[626, 435] [626, 81]
rect10s1:[626, 81] [240, 81]
rect10s2:[240, 81] [240, 582]
rect10s3:[240, 582] [626, 582]
rect10s4:[626, 582] [626, 81]
rect11s1:[626, 81] [240, 81]
rect11s2:[240, 81] [240, 450]
rect11s3:[240, 450] [626, 450]
rect11s4:[626, 450] [626, 81]
rect12s1:[626, 153] [600, 153]
rect12s2:[600, 153] [600, 450]
rect12s3:[600, 450] [626, 450]
rect12s4:[626, 450] [626, 153]
rect13s1:[626, 153] [297, 153]
rect13s2:[297, 153] [297, 450]
rect13s3:[297, 450] [626, 450]
rect13s4:[626, 450] [626, 153]
rect14s1:[626, 153] [297, 153]
rect14s2:[297, 153] [297, 435]
rect14s3:[297, 435] [626, 435]
rect14s4:[626, 435] [626, 153]
rect15s1:[256, 622] [689, 622]
rect15s2:[689, 622] [689, 582]
rect15s3:[689, 582] [256, 582]
rect15s4:[256, 582] [256, 622]
rect16s1:[287, 582] [287, 622]
rect16s2:[287, 622] [689, 622]
rect16s3:[689, 622] [689, 582]
rect16s4:[689, 582] [287, 582]
rect17s1:[585, 189] [600, 189]
rect17s2:[600, 189] [600, 450]
rect17s3:[600, 450] [585, 450]
rect17s4:[585, 450] [585, 189]
rect18s1:[585, 189] [600, 189]
rect18s2:[600, 189] [600, 435]
rect18s3:[600, 435] [585, 435]
rect18s4:[585, 435] [585, 189]
rect19s1:[585, 189] [521, 189]
rect19s2:[521, 189] [521, 450]
rect19s3:[521, 450] [585, 450]
rect19s4:[585, 450] [585, 189]
rect20s1:[585, 189] [521, 189]
rect20s2:[521, 189] [521, 435]
rect20s3:[521, 435] [585, 435]
rect20s4:[585, 435] [585, 189]
rect21s1:[600, 153] [297, 153]
rect21s2:[297, 153] [297, 450]
rect21s3:[297, 450] [600, 450]
rect21s4:[600, 450] [600, 153]
rect22s1:[600, 189] [521, 189]
rect22s2:[521, 189] [521, 450]
rect22s3:[521, 450] [600, 450]
rect22s4:[600, 450] [600, 189]
rect23s1:[600, 153] [297, 153]
rect23s2:[297, 153] [297, 435]
rect23s3:[297, 435] [600, 435]
rect23s4:[600, 435] [600, 153]
rect24s1:[600, 189] [521, 189]
rect24s2:[521, 189] [521, 435]
rect24s3:[521, 435] [600, 435]
rect24s4:[600, 435] [600, 189]
rect25s1:[297, 221] [417, 221]
rect25s2:[417, 221] [417, 435]
rect25s3:[417, 435] [297, 435]
rect25s4:[297, 435] [297, 221]
rect26s1:[464, 228] [521, 228]
rect26s2:[521, 228] [521, 435]
rect26s3:[521, 435] [464, 435]
rect26s4:[464, 435] [464, 228]
