rect0s1:[121, 89] [536, 89]
rect0s2:[536, 89] [536, 662]
rect0s3:[536, 662] [121, 662]
rect0s4:[121, 662] [121, 89]
rect1s1:[121, 89] [560, 89]
rect1s2:[560, 89] [560, 662]
rect1s3:[560, 662] [121, 662]
rect1s4:[121, 662] [121, 89]
rect2s1:[536, 89] [560, 89]
rect2s2:[560, 89] [560, 662]
rect2s3:[560, 662] [536, 662]
rect2s4:[536, 662] [536, 89]
rect3s1:[320, 164] [200, 164]
rect3s2:[200, 164] [200, 662]
rect3s3:[200, 662] [320, 662]
rect3s4:[320, 662] [320, 164]
rect4s1:[360, 163] [488, 163]
rect4s2:[488, 163] [488, 662]
rect4s3:[488, 662] [360, 662]
rect4s4:[360, 662] [360, 163]
rect5s1:[360, 163] [488, 163]
rect5s2:[488, 163] [488, 619]
rect5s3:[488, 619] [360, 619]
rect5s4:[360, 619] [360, 163]
rect6s1:[360, 619] [475, 619]
rect6s2:[475, 619] [475, 662]
rect6s3:[475, 662] [360, 662]
rect6s4:[360, 662] [360, 619]
rect7s1:[360, 619] [460, 619]
rect7s2:[460, 619] [460, 662]
rect7s3:[460, 662] [360, 662]
rect7s4:[360, 662] [360, 619]
