rect0s1:[148, 723] [148, 293]
rect0s2:[148, 293] [548, 293]
rect0s3:[548, 293] [548, 723]
rect0s4:[548, 723] [148, 723]
rect1s1:[393, 723] [393, 645]
rect1s2:[393, 645] [548, 645]
rect1s3:[548, 645] [548, 723]
rect1s4:[548, 723] [393, 723]
rect2s1:[393, 723] [393, 645]
rect2s2:[393, 645] [551, 645]
rect2s3:[551, 645] [551, 723]
rect2s4:[551, 723] [393, 723]
rect3s1:[393, 723] [393, 627]
rect3s2:[393, 627] [548, 627]
rect3s3:[548, 627] [548, 723]
rect3s4:[548, 723] [393, 723]
rect4s1:[393, 723] [393, 627]
rect4s2:[393, 627] [551, 627]
rect4s3:[551, 627] [551, 723]
rect4s4:[551, 723] [393, 723]
rect5s1:[393, 723] [393, 532]
rect5s2:[393, 532] [548, 532]
rect5s3:[548, 532] [548, 723]
rect5s4:[548, 723] [393, 723]
rect6s1:[393, 723] [393, 532]
rect6s2:[393, 532] [551, 532]
rect6s3:[551, 532] [551, 723]
rect6s4:[551, 723] [393, 723]
rect7s1:[72, 212] [72, 243]
rect7s2:[72, 243] [624, 243]
rect7s3:[624, 243] [624, 212]
rect7s4:[624, 212] [72, 212]
rect8s1:[104, 212] [104, 243]
rect8s2:[104, 243] [624, 243]
rect8s3:[624, 243] [624, 212]
rect8s4:[624, 212] [104, 212]
rect9s1:[391, 330] [391, 488]
rect9s2:[391, 488] [548, 488]
rect9s3:[548, 488] [548, 330]
rect9s4:[548, 330] [391, 330]
rect10s1:[393, 645] [393, 532]
rect10s2:[393, 532] [548, 532]
rect10s3:[548, 532] [548, 645]
rect10s4:[548, 645] [393, 645]
rect11s1:[393, 645] [393, 532]
rect11s2:[393, 532] [551, 532]
rect11s3:[551, 532] [551, 645]
rect11s4:[551, 645] [393, 645]
rect12s1:[548, 532] [551, 532]
rect12s2:[551, 532] [551, 703]
rect12s3:[551, 703] [548, 703]
rect12s4:[548, 703] [548, 532]
