rect41s2:[784, 192] [784, 351]
rect41s3:[640, 203] [702, 204]
rect41s4:[1000, 200] [1000, 351]
rect42s1:[936, 199] [1007, 201]
rect42s2:[1000, 200] [1000, 351]
rect42s3:[640, 203] [702, 204]
rect42s4:[641, 200] [641, 351]
rect43s1:[936, 199] [1007, 201]
rect43s2:[1000, 200] [1000, 351]
rect43s3:[784, 201] [855, 202]
rect43s4:[641, 200] [641, 351]
rect44s1:[784, 201] [855, 202]
rect44s2:[1000, 200] [1000, 351]
rect44s3:[640, 203] [702, 204]
rect44s4:[641, 200] [641, 351]
rect45s1:[336, 192] [336, 343]
rect45s2:[344, 199] [406, 198]
rect45s3:[72, 193] [72, 343]
rect45s4:[73, 237] [116, 238]
rect46s1:[72, 193] [72, 343]
rect46s2:[344, 199] [406, 198]
rect46s3:[400, 192] [400, 343]
rect46s4:[73, 237] [116, 238]
rect47s1:[336, 192] [336, 343]
rect47s2:[344, 199] [406, 198]
rect47s3:[144, 184] [144, 343]
rect47s4:[145, 243] [188, 235]
rect48s1:[144, 184] [144, 343]
rect48s2:[344, 199] [406, 198]
rect48s3:[400, 192] [400, 343]
rect48s4:[145, 243] [188, 235]
rect49s1:[1080, 195] [1151, 195]
rect49s2:[1399, 184] [1399, 343]
rect49s3:[1088, 242] [1151, 241]
rect49s4:[1082, 192] [1082, 351]
rect50s1:[1399, 184] [1399, 343]
rect50s2:[1080, 195] [1151, 195]
rect50s3:[1082, 192] [1082, 351]
rect50s4:[1347, 238] [1421, 241]
rect51s1:[1399, 184] [1399, 343]
rect51s2:[1080, 195] [1151, 195]
rect51s3:[1144, 192] [1144, 351]
rect51s4:[1347, 238] [1421, 241]
rect52s1:[336, 192] [336, 343]
rect52s2:[344, 199] [406, 198]
rect52s3:[72, 193] [72, 343]
rect52s4:[145, 243] [188, 235]
rect53s1:[336, 192] [336, 343]
rect53s2:[344, 199] [406, 198]
rect53s3:[112, 193] [112, 343]
rect53s4:[145, 243] [188, 235]
rect54s1:[72, 193] [72, 343]
rect54s2:[344, 199] [406, 198]
rect54s3:[400, 192] [400, 343]
