rect0s1:[96, 219] [23, 219]
rect0s2:[23, 219] [23, 490]
rect0s3:[23, 490] [96, 490]
rect0s4:[96, 490] [96, 219]
rect1s1:[96, 219] [23, 219]
rect1s2:[23, 219] [23, 738]
rect1s3:[23, 738] [96, 738]
rect1s4:[96, 738] [96, 219]
rect2s1:[96, 219] [23, 219]
rect2s2:[23, 219] [23, 427]
rect2s3:[23, 427] [96, 427]
rect2s4:[96, 427] [96, 219]
rect3s1:[96, 147] [23, 147]
rect3s2:[23, 147] [23, 738]
rect3s3:[23, 738] [96, 738]
rect3s4:[96, 738] [96, 147]
rect4s1:[96, 147] [23, 147]
rect4s2:[23, 147] [23, 427]
rect4s3:[23, 427] [96, 427]
rect4s4:[96, 427] [96, 147]
rect5s1:[96, 67] [353, 67]
rect5s2:[353, 67] [353, 86]
rect5s3:[353, 86] [96, 86]
rect5s4:[96, 86] [96, 67]
rect6s1:[96, 67] [353, 67]
rect6s2:[353, 67] [353, 771]
rect6s3:[353, 771] [96, 771]
rect6s4:[96, 771] [96, 67]
rect7s1:[96, 67] [353, 67]
rect7s2:[353, 67] [353, 116]
rect7s3:[353, 116] [96, 116]
rect7s4:[96, 116] [96, 67]
rect8s1:[96, 86] [353, 86]
rect8s2:[353, 86] [353, 771]
rect8s3:[353, 771] [96, 771]
rect8s4:[96, 771] [96, 86]
rect9s1:[96, 116] [353, 116]
rect9s2:[353, 116] [353, 771]
rect9s3:[353, 771] [96, 771]
rect9s4:[96, 771] [96, 116]
rect10s1:[96, 67] [128, 67]
rect10s2:[128, 67] [128, 219]
rect10s3:[128, 219] [96, 219]
rect10s4:[96, 219] [96, 67]
rect11s1:[96, 67] [128, 67]
rect11s2:[128, 67] [128, 147]
rect11s3:[128, 147] [96, 147]
rect11s4:[96, 147] [96, 67]
rect12s1:[96, 86] [128, 86]
rect12s2:[128, 86] [128, 219]
rect12s3:[128, 219] [96, 219]
rect12s4:[96, 219] [96, 86]
rect13s1:[96, 116] [128, 116]
rect13s2:[128, 116] [128, 219]
rect13s3:[128, 219] [96, 219]
rect13s4:[96, 219] [96, 116]
rect14s1:[96, 116] [346, 116]
rect14s2:[346, 116] [346, 67]
rect14s3:[346, 67] [96, 67]
rect14s4:[96, 67] [96, 116]
rect15s1:[448, 146] [353, 146]
rect15s2:[353, 146] [353, 738]
rect15s3:[353, 738] [448, 738]
rect15s4:[448, 738] [448, 146]
rect16s1:[448, 213] [353, 213]
rect16s2:[353, 213] [353, 738]
rect16s3:[353, 738] [448, 738]
rect16s4:[448, 738] [448, 213]
rect17s1:[353, 354] [256, 354]
rect17s2:[256, 354] [256, 771]
rect17s3:[256, 771] [353, 771]
rect17s4:[353, 771] [353, 354]
rect18s1:[353, 67] [128, 67]
rect18s2:[128, 67] [128, 86]
rect18s3:[128, 86] [353, 86]
rect18s4:[353, 86] [353, 67]
rect19s1:[353, 67] [128, 67]
rect19s2:[128, 67] [128, 116]
rect19s3:[128, 116] [353, 116]
rect19s4:[353, 116] [353, 67]
rect20s1:[353, 67] [128, 67]
rect20s2:[128, 67] [128, 315]
rect20s3:[128, 315] [353, 315]
rect20s4:[353, 315] [353, 67]
rect21s1:[353, 86] [128, 86]
rect21s2:[128, 86] [128, 315]
rect21s3:[128, 315] [353, 315]
rect21s4:[353, 315] [353, 86]
rect22s1:[353, 116] [128, 116]
rect22s2:[128, 116] [128, 315]
rect22s3:[128, 315] [353, 315]
rect22s4:[353, 315] [353, 116]
rect23s1:[128, 116] [346, 116]
rect23s2:[346, 116] [346, 67]
rect23s3:[346, 67] [128, 67]
rect23s4:[128, 67] [128, 116]
rect24s1:[216, 116] [346, 116]
rect24s2:[346, 116] [346, 67]
rect24s3:[346, 67] [216, 67]
rect24s4:[216, 67] [216, 116]
rect25s1:[146, 67] [146, 86]
rect25s2:[146, 86] [346, 86]
rect25s3:[346, 86] [346, 67]
rect25s4:[346, 67] [146, 67]
rect26s1:[146, 67] [146, 116]
rect26s2:[146, 116] [242, 116]
rect26s3:[242, 116] [242, 67]
rect26s4:[242, 67] [146, 67]
rect27s1:[146, 67] [146, 116]
rect27s2:[146, 116] [262, 116]
rect27s3:[262, 116] [262, 67]
rect27s4:[262, 67] [146, 67]
rect28s1:[146, 67] [146, 116]
rect28s2:[146, 116] [346, 116]
rect28s3:[346, 116] [346, 67]
rect28s4:[346, 67] [146, 67]
rect29s1:[146, 86] [146, 116]
rect29s2:[146, 116] [346, 116]
rect29s3:[346, 116] [346, 86]
rect29s4:[346, 86] [146, 86]
