rect0s1:[40, 91] [320, 91]
rect0s2:[320, 91] [320, 544]
rect0s3:[320, 544] [40, 544]
rect0s4:[40, 544] [40, 91]
rect1s1:[40, 91] [320, 91]
rect1s2:[320, 91] [320, 564]
rect1s3:[320, 564] [40, 564]
rect1s4:[40, 564] [40, 91]
rect2s1:[40, 75] [320, 75]
rect2s2:[320, 75] [320, 544]
rect2s3:[320, 544] [40, 544]
rect2s4:[40, 544] [40, 75]
rect3s1:[40, 75] [320, 75]
rect3s2:[320, 75] [320, 564]
rect3s3:[320, 564] [40, 564]
rect3s4:[40, 564] [40, 75]
rect4s1:[40, 59] [320, 59]
rect4s2:[320, 59] [320, 544]
rect4s3:[320, 544] [40, 544]
rect4s4:[40, 544] [40, 59]
rect5s1:[40, 59] [320, 59]
rect5s2:[320, 59] [320, 564]
rect5s3:[320, 564] [40, 564]
rect5s4:[40, 564] [40, 59]
rect6s1:[40, 43] [320, 43]
rect6s2:[320, 43] [320, 544]
rect6s3:[320, 544] [40, 544]
rect6s4:[40, 544] [40, 43]
rect7s1:[40, 43] [320, 43]
rect7s2:[320, 43] [320, 564]
rect7s3:[320, 564] [40, 564]
rect7s4:[40, 564] [40, 43]
rect8s1:[305, 163] [96, 163]
rect8s2:[96, 163] [96, 544]
rect8s3:[96, 544] [305, 544]
rect8s4:[305, 544] [305, 163]
rect9s1:[305, 163] [96, 163]
rect9s2:[96, 163] [96, 183]
rect9s3:[96, 183] [305, 183]
rect9s4:[305, 183] [305, 163]
rect10s1:[305, 163] [96, 163]
rect10s2:[96, 163] [96, 600]
rect10s3:[96, 600] [305, 600]
rect10s4:[305, 600] [305, 163]
rect11s1:[305, 163] [96, 163]
rect11s2:[96, 163] [96, 564]
rect11s3:[96, 564] [305, 564]
rect11s4:[305, 564] [305, 163]
rect12s1:[305, 163] [96, 163]
rect12s2:[96, 163] [96, 307]
rect12s3:[96, 307] [305, 307]
rect12s4:[305, 307] [305, 163]
rect13s1:[305, 163] [96, 163]
rect13s2:[96, 163] [96, 333]
rect13s3:[96, 333] [305, 333]
rect13s4:[305, 333] [305, 163]
rect14s1:[305, 183] [96, 183]
rect14s2:[96, 183] [96, 544]
rect14s3:[96, 544] [305, 544]
rect14s4:[305, 544] [305, 183]
rect15s1:[305, 307] [96, 307]
rect15s2:[96, 307] [96, 544]
rect15s3:[96, 544] [305, 544]
rect15s4:[305, 544] [305, 307]
rect16s1:[305, 333] [96, 333]
rect16s2:[96, 333] [96, 544]
rect16s3:[96, 544] [305, 544]
rect16s4:[305, 544] [305, 333]
rect17s1:[305, 183] [96, 183]
rect17s2:[96, 183] [96, 600]
rect17s3:[96, 600] [305, 600]
rect17s4:[305, 600] [305, 183]
rect18s1:[305, 183] [96, 183]
rect18s2:[96, 183] [96, 564]
rect18s3:[96, 564] [305, 564]
rect18s4:[305, 564] [305, 183]
rect19s1:[305, 183] [96, 183]
rect19s2:[96, 183] [96, 307]
